IGO_A,IGO_B,mandate_similarity,relational_similarity,delta_incongruence,positive_incongruence,high_incongruence
UNFCCC,UNFPA,0.2607177717083927,0.6494267078250285,-0.3887089361166358,False,False
UNFCCC,UN-Habitat,0.3467585988254088,0.5984574965999344,-0.2516988977745256,False,False
UNFCCC,WFP,0.060765134631770655,0.7515112519522561,-0.6907461173204854,False,False
UNFCCC,UNWTO,0.522017748984101,0.8743468868131324,-0.3523291378290314,False,False
UNFCCC,UNRISD,0.2067035587958874,0.7243502121306135,-0.517646653334726,False,False
UNFCCC,BRS,0.5214032899500235,0.6308913507042728,-0.10948806075424933,False,False
UNFCCC,CBD,0.8128464544953645,0.8157820712654453,-0.0029356167700808067,False,False
UNFCCC,CITES,0.3710001082369793,0.6474242475071625,-0.2764241392701832,False,False
UNFCCC,CMS,0.4565700460274494,0.6614180929537702,-0.2048480469263208,False,False
UNFCCC,IFAD,0.148251748299681,0.6113289727103335,-0.46307722441065247,False,False
UNFCCC,ITC,0.06590904237541143,0.702330010352677,-0.6364209679772656,False,False
UNFCCC,UNCCD,0.2774716222822315,0.8660865987673521,-0.5886149764851205,False,False
UNFCCC,UNU,0.2717499433971316,0.47526265978998816,-0.20351271639285656,False,False
UNFCCC,Ramsar,0.43607220788664036,0.7893408682002853,-0.3532686603136449,False,False
UNFCCC,Minamata,0.4183864079269319,0.7758891750054668,-0.35750276707853496,False,False
UNFCCC,UNOOSA,0.2773536245638263,0.8254969764821335,-0.5481433519183072,False,False
UNFCCC,UNODC,0.3645908077906238,0.6905082066924753,-0.32591739890185145,False,False
ISA,UNEP,0.3890620036674078,0.7925540529671815,-0.4034920492997737,False,False
ISA,UNDP,0.1640127646478017,0.5968262388952861,-0.4328134742474844,False,False
ISA,UNCTAD,0.1794606340193885,0.8729737054680926,-0.6935130714487041,False,False
ISA,UNIDO,0.3264341411491437,0.7942179693034066,-0.4677838281542629,False,False
ISA,ILO,0.22037969499420576,0.774175088356745,-0.5537953933625392,False,False
ISA,ITU,0.6019292654288461,0.7827704189725494,-0.18084115354370334,False,False
ISA,UNICEF,0.5391291361472075,0.838811797715323,-0.2996826615681155,False,False
ISA,WHO,0.4991365906180971,0.6813468399573861,-0.18221024933928898,False,False
ISA,UNHCR/OHCHR,0.34050261230349943,0.6401071896115622,-0.2996045773080628,False,False
ISA,UNDRR,0.20819205197707585,0.7993239547690317,-0.5911319027919559,False,False
ISA,UNGC,0.12383181921649787,0.5599385637820259,-0.436106744565528,False,False
ISA,IAEA,0.2548509505142025,0.8740785799234135,-0.6192276294092111,False,False
ISA,WMO,0.3368021546772325,0.7680401010608764,-0.4312379463836439,False,False
ISA,OECD,0.23113014124004116,0.4687812946670946,-0.23765115342705345,False,False
ISA,WBG,0.13397791225855626,0.40253548839147973,-0.26855757613292347,False,False
ISA,IMF,0.38083983134066773,0.731763926865062,-0.35092409552439424,False,False
ISA,IHO,0.2811991139220724,0.8244346753934696,-0.5432355614713972,False,False
ISA,ICES,0.3286057264017203,0.7556070388297648,-0.42700131242804445,False,False
ISA,IPBES,0.1479071897559731,0.6303422427233143,-0.4824350529673412,False,False
ISA,IPCC,0.44710183400989584,0.6782999969315501,-0.23119816292165424,False,False
ISA,WTO,0.3121951526487252,0.779363019885989,-0.4671678672372638,False,False
ISA,IOM,0.1388397228314399,0.6519547669860152,-0.5131150441545753,False,False
ISA,UNOPS,0.13355611265883552,0.49585961941401024,-0.36230350675517475,False,False
ISA,UN Women,0.0,0.7091843231916901,-0.7091843231916901,False,False
ISA,WIPO,0.1539981007018036,0.7920806020073248,-0.6380825013055211,False,False
ISA,UNFPA,0.4106616018714763,0.6256732541691702,-0.21501165229769387,False,False
ISA,UN-Habitat,0.3877423344969095,0.6855695287496839,-0.29782719425277443,False,False
ISA,WFP,0.0,0.6697161789299957,-0.6697161789299957,False,False
ISA,UNWTO,0.04391033880775667,0.7720707102831985,-0.7281603714754419,False,False
ISA,UNRISD,0.32558277102259187,0.6252142957379041,-0.29963152471531224,False,False
ISA,BRS,0.08374210153041897,0.7041081158837366,-0.6203660143533176,False,False
ISA,CBD,0.05872134211655599,0.6732008104898983,-0.6144794683733423,False,False
ISA,CITES,0.28891267655005143,0.5909191774888578,-0.3020065009388064,False,False
ISA,CMS,0.40368910314515905,0.5102152870899811,-0.10652618394482205,False,False
ISA,IFAD,0.36778485624491364,0.5566767036809409,-0.18889184743602727,False,False
ISA,ITC,0.2919785812368919,0.6662080805002264,-0.3742294992633345,False,False
ISA,UNCCD,0.3512016287364501,0.676955871952182,-0.3257542432157319,False,False
ISA,UNU,0.3611575592573076,0.57506568458688,-0.21390812532957243,False,False
ISA,Ramsar,0.16426493694408564,0.8047389914028675,-0.6404740544587819,False,False
ISA,Minamata,0.5097019010284048,0.7442052780426232,-0.2345033770142183,False,False
ISA,UNOOSA,0.3440312310280933,0.6791817032238442,-0.3351504721957509,False,False
ISA,UNODC,0.21535276082326615,0.596432159051959,-0.38107939822869286,False,False
